"counties","covid.19","fips","date","population","percentage"
"Berkshire",9,25003,2020-03-12,127328,0.00706835888414174
"Essex",2,25009,2020-03-12,781024,0.000256074077109026
"Middlesex",49,25017,2020-03-12,1595192,0.00307173055030366
"Norfolk",24,25021,2020-03-12,698249,0.00343716926196815
"Suffolk",22,25025,2020-03-12,791766,0.00277859872740178
"Worcester",1,25027,2020-03-12,822280,0.000121613075837914
"Barnstable",2,25001,2020-03-18,213690,0.000935935233281857
"Berkshire",17,25003,2020-03-18,127328,0.0133513445589344
"Bristol",5,25005,2020-03-18,558905,0.000894606417906442
"Essex",14,25009,2020-03-18,781024,0.00179251853976318
"Franklin",1,25011,2020-03-18,70935,0.00140974131246916
"Hampden",2,25013,2020-03-18,469116,0.000426333785247146
"Middlesex",100,25017,2020-03-18,1595192,0.00626883785776258
"Norfolk",45,25021,2020-03-18,698249,0.00644469236619028
"Plymouth",5,25023,2020-03-18,512135,0.000976305075810089
"Suffolk",51,25025,2020-03-18,791766,0.00644129704988595
"Worcester",10,25027,2020-03-18,822280,0.00121613075837914
"Barnstable",5,25001,2020-03-19,213690,0.00233983808320464
"Berkshire",18,25003,2020-03-19,127328,0.0141367177682835
"Bristol",6,25005,2020-03-19,558905,0.00107352770148773
"Essex",19,25009,2020-03-19,781024,0.00243270373253575
"Franklin",1,25011,2020-03-19,70935,0.00140974131246916
"Hampden",3,25013,2020-03-19,469116,0.000639500677870719
"Hampshire",1,25015,2020-03-19,161159,0.000620505215346335
"Middlesex",119,25017,2020-03-19,1595192,0.00745991705073747
"Norfolk",52,25021,2020-03-19,698249,0.00744720006759766
"Plymouth",5,25023,2020-03-19,512135,0.000976305075810089
"Suffolk",72,25025,2020-03-19,791766,0.00909359583513311
"Worcester",14,25027,2020-03-19,822280,0.0017025830617308
"Barnstable",9,25001,2020-03-20,213690,0.00421170854976836
"Berkshire",20,25003,2020-03-20,127328,0.0157074641869817
"Bristol",6,25005,2020-03-20,558905,0.00107352770148773
"Essex",29,25009,2020-03-20,781024,0.00371307411808088
"Franklin",1,25011,2020-03-20,70935,0.00140974131246916
"Hampden",3,25013,2020-03-20,469116,0.000639500677870719
"Hampshire",2,25015,2020-03-20,161159,0.00124101043069267
"Middlesex",144,25017,2020-03-20,1595192,0.00902712651517811
"Norfolk",64,25021,2020-03-20,698249,0.00916578469858174
"Plymouth",11,25023,2020-03-20,512135,0.0021478711667822
"Suffolk",86,25025,2020-03-20,791766,0.0108617950252979
"Worcester",19,25027,2020-03-20,822280,0.00231064844092037
"Barnstable",11,25001,2020-03-21,213690,0.00514764378305021
"Berkshire",21,25003,2020-03-21,127328,0.0164928373963307
"Bristol",14,25005,2020-03-21,558905,0.00250489797013804
"Dukes and Nantucket",1,25007,2020-03-21,28414,0.00351939184908848
"Essex",41,25009,2020-03-21,781024,0.00524951858073504
"Franklin",2,25011,2020-03-21,70935,0.00281948262493832
"Hampden",9,25013,2020-03-21,469116,0.00191850203361216
"Hampshire",2,25015,2020-03-21,161159,0.00124101043069267
"Middlesex",177,25017,2020-03-21,1595192,0.0110958430082398
"Norfolk",69,25021,2020-03-21,698249,0.00988186162815844
"Plymouth",20,25023,2020-03-21,512135,0.00390522030324036
"Suffolk",108,25025,2020-03-21,791766,0.0136403937526997
"Worcester",24,25027,2020-03-21,822280,0.00291871382010994
"Barnstable",24,25001,2020-03-22,213690,0.0112312227993823
"Berkshire",23,25003,2020-03-22,127328,0.0180635838150289
"Bristol",24,25005,2020-03-22,558905,0.00429411080595092
"Dukes and Nantucket",1,25007,2020-03-22,28414,0.00351939184908848
"Essex",60,25009,2020-03-22,781024,0.00768222231327078
"Franklin",2,25011,2020-03-22,70935,0.00281948262493832
"Hampden",12,25013,2020-03-22,469116,0.00255800271148287
"Hampshire",4,25015,2020-03-22,161159,0.00248202086138534
"Middlesex",199,25017,2020-03-22,1595192,0.0124749873369475
"Norfolk",75,25021,2020-03-22,698249,0.0107411539436505
"Plymouth",25,25023,2020-03-22,512135,0.00488152537905045
"Suffolk",126,25025,2020-03-22,791766,0.0159137927114829
"Worcester",37,25027,2020-03-22,822280,0.00449968380600282
"Barnstable",30,25001,2020-03-23,213690,0.0140390284992279
"Berkshire",26,25003,2020-03-23,127328,0.0204197034430761
"Bristol",25,25005,2020-03-23,558905,0.00447303208953221
"Dukes and Nantucket",1,25007,2020-03-23,28414,0.00351939184908848
"Essex",73,25009,2020-03-23,781024,0.00934670381447945
"Franklin",2,25011,2020-03-23,70935,0.00281948262493832
"Hampden",15,25013,2020-03-23,469116,0.00319750338935359
"Hampshire",6,25015,2020-03-23,161159,0.00372303129207801
"Middlesex",232,25017,2020-03-23,1595192,0.0145437038300092
"Norfolk",82,25021,2020-03-23,698249,0.0117436616450579
"Plymouth",32,25023,2020-03-23,512135,0.00624835248518457
"Suffolk",154,25025,2020-03-23,791766,0.0194501910918125
"Worcester",42,25027,2020-03-23,822280,0.00510774918519239
